days	firstversion	lastversion	file_name	classification
566	v2.6.38	v3.6	arch/arm/mach-omap2/board-am3517evm.c	MissingDead
564	v2.6.37	v3.5	arch/arm/mach-omap2/omap-iommu.c	MissingDead
564	v2.6.37	v3.5	drivers/staging/comedi/drivers/skel.c	MissingDead
502	v2.6.37	v3.4	drivers/staging/comedi/drivers/amplc_pc236.c	MissingDead
502	v2.6.37	v3.4	drivers/staging/comedi/drivers/amplc_pc236.c	MissingDead
502	v2.6.37	v3.4	drivers/staging/comedi/drivers/amplc_pc236.c	MissingDead
502	v2.6.37	v3.4	drivers/staging/comedi/drivers/amplc_pc236.c	MissingDead
502	v2.6.37	v3.4	drivers/staging/comedi/drivers/amplc_pc236.c	MissingDead
502	v2.6.37	v3.4	drivers/staging/comedi/drivers/amplc_pc236.c	MissingDead
502	v2.6.37	v3.4	drivers/staging/comedi/drivers/amplc_pc236.c	MissingDead
502	v2.6.37	v3.4	drivers/staging/comedi/drivers/amplc_pc236.c	MissingDead
502	v2.6.37	v3.4	kernel/irq/manage.c	MissingDead
502	v2.6.37	v3.4	drivers/staging/comedi/drivers/amplc_pc236.c	MissingDead
502	v2.6.37	v3.4	drivers/staging/comedi/drivers/amplc_pc236.c	MissingDead
502	v2.6.37	v3.4	include/linux/irq.h	MissingDead
502	v2.6.37	v3.4	drivers/staging/comedi/drivers/das08.c	MissingDead
502	v2.6.37	v3.4	drivers/staging/comedi/drivers/das08.c	MissingDead
502	v2.6.37	v3.4	drivers/staging/comedi/drivers/das08.c	MissingDead
502	v2.6.37	v3.4	drivers/staging/comedi/drivers/das08.c	MissingDead
502	v2.6.37	v3.4	drivers/staging/comedi/drivers/das08.c	MissingDead
502	v2.6.37	v3.4	drivers/staging/comedi/drivers/das08.c	MissingDead
502	v2.6.37	v3.4	drivers/staging/comedi/drivers/das08.c	MissingDead
502	v2.6.37	v3.4	drivers/staging/comedi/drivers/das08.c	MissingDead
